cordon,zone_ext,direction,flux_type,charge,classe_distance,nb_pl_jour,distance_km,dep_ext,reg_ext,mz_ext,com_ext
chalon,281,sortant,I,V,D2,0.16,170.6,89.0,1.0,33.0,89277.0
chalon,284,entrant,I,C,D2,0.33,160.4,89.0,1.0,6.0,89024.0
chalon,284,entrant,I,C,D3,0.02,222.2,89.0,1.0,6.0,89024.0
chalon,284,entrant,I,V,D2,0.1,160.3,89.0,1.0,6.0,89024.0
chalon,284,entrant,I,V,D3,0.0,222.2,89.0,1.0,6.0,89024.0
chalon,284,sortant,I,C,D2,0.21,160.3,89.0,1.0,6.0,89024.0
chalon,284,sortant,I,C,D3,0.03,222.7,89.0,1.0,6.0,89024.0
chalon,284,sortant,I,V,D2,0.15,160.3,89.0,1.0,6.0,89024.0
chalon,284,sortant,I,V,D3,0.01,222.7,89.0,1.0,6.0,89024.0
chalon,297,entrant,I,C,D2,0.01,173.7,25.0,1.0,35.0,25031.0
chalon,297,entrant,I,V,D2,0.01,173.7,25.0,1.0,35.0,25031.0
chalon,297,sortant,I,C,D2,0.03,188.4,25.0,1.0,35.0,25031.0
chalon,297,sortant,I,V,D2,0.01,188.4,25.0,1.0,35.0,25031.0
chalon,309,entrant,I,C,D2,0.06,114.2,21.0,1.0,27.0,21231.0
chalon,309,entrant,I,V,D2,0.03,114.2,21.0,1.0,27.0,21231.0
chalon,309,sortant,I,C,D2,0.02,121.5,21.0,1.0,27.0,21231.0
chalon,309,sortant,I,V,D2,0.03,131.4,21.0,1.0,27.0,21231.0
chalon,316,entrant,I,C,D2,0.0,124.3,25.0,1.0,36.0,25056.0
chalon,316,entrant,I,V,D2,0.0,126.5,25.0,1.0,36.0,25056.0
chalon,316,sortant,I,C,D2,0.0,123.5,25.0,1.0,36.0,25056.0
chalon,316,sortant,I,V,D2,0.0,128.8,25.0,1.0,36.0,25056.0
chalon,318,entrant,I,C,D2,0.05,127.0,58.0,1.0,1.0,58117.0
chalon,318,entrant,I,V,D2,0.03,127.0,58.0,1.0,1.0,58117.0
chalon,318,sortant,I,C,D2,0.15,124.4,58.0,1.0,1.0,58117.0
chalon,318,sortant,I,V,D2,0.14,124.4,58.0,1.0,1.0,58117.0
chalon,320,entrant,I,C,D2,0.29,124.0,25.0,1.0,36.0,25056.0
chalon,320,entrant,I,V,D2,0.21,124.0,25.0,1.0,36.0,25056.0
chalon,320,sortant,I,C,D2,0.3,123.2,25.0,1.0,36.0,25056.0
chalon,320,sortant,I,V,D2,0.12,123.4,25.0,1.0,36.0,25056.0
chalon,324,entrant,I,C,D2,0.57,141.9,58.0,1.0,1.0,58194.0
chalon,324,entrant,I,V,D2,0.34,142.6,58.0,1.0,1.0,58194.0
chalon,324,sortant,I,C,D2,0.3,150.7,58.0,1.0,1.0,58194.0
chalon,324,sortant,I,V,D2,0.21,150.7,58.0,1.0,1.0,58194.0
chalon,328,entrant,I,C,D2,0.05,122.1,70.0,1.0,,70393.0
chalon,328,entrant,I,V,D2,0.05,122.1,70.0,1.0,,70393.0
chalon,331,entrant,I,C,D2,0.24,109.0,71.0,1.0,,71500.0
chalon,331,entrant,I,V,D2,0.19,109.0,71.0,1.0,,71500.0
chalon,331,sortant,I,C,D2,0.24,109.2,71.0,1.0,,71500.0
chalon,331,sortant,I,V,D2,0.19,109.2,71.0,1.0,,71500.0
chalon,338,entrant,I,C,D3,0.02,217.3,25.0,1.0,35.0,25388.0
chalon,338,entrant,I,V,D3,0.02,217.3,25.0,1.0,35.0,25388.0
chalon,340,sortant,I,C,D2,0.03,100.9,58.0,1.0,31.0,58179.0
chalon,340,sortant,I,V,D2,0.03,100.9,58.0,1.0,31.0,58179.0
chalon,343,entrant,I,C,D2,0.04,101.3,21.0,1.0,23.0,21603.0
chalon,343,entrant,I,V,D2,0.02,101.3,21.0,1.0,23.0,21603.0
chalon,343,sortant,I,C,D2,0.02,101.3,21.0,1.0,23.0,21603.0
