M1,label_secteur,emploi,nb_etab
29,Construction batiments,45,7
29,Entreposage / services transport,711,29
29,Fabrication boissons,396,18
29,Genie civil,62,2
29,Ind. alimentaires,1181,63
29,Industrie automobile,4,2
29,Industrie chimique,210,2
29,Industrie papier/carton,0,0
29,Machines/equipements,314,10
29,Produits metalliques,180,12
29,Produits mineraux,0,0
29,Transports terrestres,320,34
29,Travail bois,114,10
29,Travaux construction spec.,424,97
30,Caoutchouc/plastique,525,12
30,Commerce gros,974,90
30,Construction batiments,100,24
30,Entreposage / services transport,359,21
30,Fabrication boissons,9,3
30,Genie civil,176,8
30,Ind. alimentaires,2915,111
30,Industrie automobile,0,0
30,Industrie chimique,1618,6
30,Industrie papier/carton,57,2
30,Machines/equipements,54,6
30,Metallurgie,10,1
30,Produits metalliques,661,25
30,Produits mineraux,210,6
30,Transports terrestres,721,53
30,Travail bois,32,7
30,Travaux construction spec.,2062,313
31,Caoutchouc/plastique,0,0
31,Commerce gros,61,11
31,Entreposage / services transport,0,0
31,Ind. alimentaires,45,8
31,Industries extractives,12,1
31,Produits metalliques,4,1
31,Produits mineraux,0,0
31,Transports terrestres,66,4
31,Travail bois,0,0
31,Travaux construction spec.,111,31
32,Commerce gros,26,3
32,Construction batiments,0,0
32,Ind. alimentaires,14,3
32,Produits mineraux,0,0
32,Transports terrestres,49,4
32,Travaux construction spec.,21,12
33,Commerce gros,12,6
33,Construction batiments,0,0
33,Entreposage / services transport,36,2
33,Fabrication boissons,1,1
33,Ind. alimentaires,19,3
33,Industries extractives,0,0
33,Produits mineraux,0,0
33,Transports terrestres,51,2
33,Travail bois,3,1
33,Travaux construction spec.,55,10
34,Caoutchouc/plastique,50,1
34,Commerce gros,86,9
34,Construction batiments,49,2
34,Entreposage / services transport,4,1
34,Fabrication boissons,0,0
34,Genie civil,0,0
34,Ind. alimentaires,87,7
34,Machines/equipements,84,1
34,Metallurgie,0,0
34,Produits metalliques,13,3
34,Produits mineraux,0,0
34,Transports terrestres,83,9
34,Travaux construction spec.,144,27
35,Autres materiels transport,281,2
35,Caoutchouc/plastique,472,12
35,Commerce gros,2012,244
35,Construction batiments,541,45
35,Entreposage / services transport,682,44
35,Fabrication boissons,0,0
35,Genie civil,980,48
35,Ind. alimentaires,2491,233
35,Industrie automobile,11894,42
35,Industrie chimique,46,6
35,Industrie papier/carton,96,1
35,Industries extractives,16,4
35,Machines/equipements,199,8
35,Metallurgie,307,4
35,Produits metalliques,2437,72
35,Produits mineraux,129,19
35,Transports terrestres,1499,144
35,Travail bois,41,5
35,Travaux construction spec.,4785,515
36,Autres materiels transport,6,1
36,Caoutchouc/plastique,4563,57
36,Commerce gros,27731,3477
36,Construction batiments,7477,606
36,Entreposage / services transport,8802,405
36,Fabrication boissons,525,133
36,Genie civil,2609,159
36,Ind. alimentaires,19391,1858
36,Industrie automobile,2532,107
36,Industrie chimique,0,0
36,Industrie papier/carton,192,5
36,Industries extractives,13,3
36,Machines/equipements,5438,136
36,Metallurgie,858,26
36,Produits metalliques,34391,629
36,Produits mineraux,775,82
36,Transports terrestres,33413,987
36,Travail bois,836,53
36,Travaux construction spec.,19582,3554
